S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-01-13,270.00,270.00,270.00,270.00,0.00,"13,045.00","3,522,150.00"
2,2026-01-12,270.00,270.00,270.00,270.00,0.00,"13,045.00","3,522,150.00"
3,2025-12-28,270.00,270.00,270.00,270.00,0.00,"23,700.00","6,399,000.00"
4,2025-12-21,270.00,270.00,270.00,270.00,0.00,"11,858.00","2,407,174.00"
5,2025-12-18,270.00,270.00,270.00,270.00,0.00,"45,569.00","12,303,630.00"
6,2025-11-17,270.00,270.00,270.00,270.00,0.00,"21,384.00","5,773,680.00"
7,2025-11-13,270.00,270.00,270.00,270.00,0.00,"4,077.00","1,100,790.00"
8,2025-08-07,300.00,300.00,300.00,300.00,0.00,"1,695.00","508,500.00"
9,2025-08-03,300.00,300.00,300.00,300.00,-0.96,"14,470.00","4,341,000.00"
10,2025-07-30,302.90,302.90,302.90,302.90,0.00,"10,000.00","3,029,000.00"
11,2025-07-10,302.90,302.90,302.90,302.90,-1.97,"35,640.00","10,795,356.00"
12,2025-07-09,309.00,309.00,309.00,309.00,0.00,"14,256.00","4,405,104.00"
13,2025-06-29,309.00,309.00,309.00,309.00,0.00,"52,000.00","16,068,000.00"
14,2025-06-23,309.00,309.00,309.00,309.00,0.00,"6,039.00","1,866,051.00"
15,2025-05-28,309.00,309.00,309.00,309.00,0.00,"90,584.00","27,990,456.00"
16,2025-05-19,309.00,309.00,309.00,309.00,0.00,"1,000.00","309,000.00"
17,2025-05-15,309.00,309.00,309.00,309.00,0.00,"245,806.00","75,954,054.00"
18,2025-05-13,309.00,309.00,309.00,309.00,0.00,"6,039.00","1,866,051.00"
19,2025-05-11,309.00,309.00,309.00,309.00,0.00,"6,039.00","1,866,051.00"
20,2025-02-11,270.00,270.00,270.00,270.00,0.00,"18,000.00","4,860,000.00"
21,2025-01-19,270.00,270.00,270.00,270.00,0.00,"30,000.00","8,100,000.00"
22,2025-01-07,270.00,270.00,270.00,270.00,0.00,"21,960.00","5,929,200.00"
23,2025-01-02,270.00,270.00,270.00,270.00,0.00,"2,415,600.00","461,742,820.00"
24,2025-01-01,270.00,270.00,270.00,270.00,0.00,"100,000.00","27,000,000.00"
25,2024-12-18,270.00,270.00,270.00,270.00,0.00,"2,000.00","540,000.00"
26,2024-12-11,270.00,270.00,270.00,270.00,0.00,"162,950.00","29,412,475.00"
27,2024-12-10,270.00,270.00,270.00,270.00,-1.82,"27,375.00","7,391,250.00"
28,2024-10-27,275.00,275.00,275.00,275.00,-0.15,"10,980.00","3,019,500.00"
29,2024-09-23,275.40,275.40,275.40,275.40,0.00,"2,000.00","550,800.00"
30,2024-09-04,275.40,275.40,275.40,275.40,0.00,"42,920.00","11,820,168.00"
31,2024-08-29,275.40,275.40,275.40,275.40,0.00,"60,000.00","16,524,000.00"
32,2024-08-08,275.40,275.40,275.40,275.40,0.00,"2,000.00","550,800.00"
33,2024-08-06,275.40,275.40,275.40,275.40,0.00,"10,800.00","2,974,320.00"
34,2024-07-31,275.40,275.40,275.40,275.40,0.00,"100,000.00","27,540,000.00"
35,2024-07-29,275.40,275.40,275.40,275.40,0.00,"45,000.00","12,393,000.00"
36,2024-07-14,275.40,275.40,275.40,275.40,0.00,"37,500.00","10,327,500.00"
37,2024-07-04,275.40,275.40,275.40,275.40,0.00,"100,000.00","27,540,000.00"
38,2024-07-01,275.40,275.40,275.40,275.40,0.00,"54,900.00","15,119,460.00"
39,2024-06-23,275.40,275.40,275.40,275.40,0.00,"57,645.00","15,875,433.00"
40,2024-06-06,275.40,275.40,275.40,275.40,0.00,"60,000.00","16,524,000.00"
41,2024-06-05,275.40,275.40,275.40,275.40,0.00,"40,000.00","11,016,000.00"
42,2024-05-12,275.40,275.40,275.40,275.40,-1.99,"21,960.00","6,047,784.00"
43,2024-04-15,281.00,281.00,281.00,281.00,0.00,"71,370.00","20,054,970.00"
44,2024-04-09,281.00,281.00,281.00,281.00,0.00,"25,000.00","7,025,000.00"
45,2024-02-04,296.00,296.00,296.00,296.00,0.00,"1,000.00","296,000.00"
