S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-04-05,660.50,660.50,600.50,603.90,-8.57,"187,035.00","116,677,827.70"
2,2026-04-02,656.0,687.0,640.1,660.5,-0.83,"117,989.00","78,290,318.70"
3,2026-04-01,700.0,700.0,655.7,666.0,-3.63,"130,296.00","87,168,467.60"
4,2026-03-31,675.0,716.0,629.0,691.1,2.39,"279,142.00","181,484,235.60"
5,2026-03-30,745.0,745.0,665.0,675.0,-7.79,"404,031.00","278,412,712.70"
6,2026-03-29,721.2,777.8,652.0,732.0,3.52,"661,803.00","486,938,159.10"
7,2026-03-26,655.7,707.1,655.7,707.1,9.99,"236,950.00","167,518,618.30"
8,2026-03-25,596.1,642.9,596.1,642.9,9.99,"22,360.00","14,368,011.00"
9,2026-03-24,542.0,584.5,542.0,584.5,9.99,"9,590.00","5,601,761.00"
10,2026-03-23,492.7,531.4,492.7,531.4,10.0,"10,180.00","5,407,539.00"
11,2026-03-22,447.0,483.1,447.0,483.1,10.0,"3,690.00","1,780,293.00"
12,2026-03-19,405.5,439.2,405.5,439.2,9.99,"1,850.00","810,055.00"
13,2026-03-17,367.7,399.3,367.7,399.3,10.0,840.0,"334,579.00"
14,2026-03-16,336.6,363.0,336.6,363.0,10.0,790.0,"285,065.00"
15,2026-03-15,300.0,330.0,300.0,330.0,10.0,860.0,"278,710.00"
