S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-04-16,"1,277.40","1,360.00","1,220.00","1,251.00",-0.11,"114,850.00","147,461,148.50"
2,2026-04-15,"1,161.30","1,252.40","1,161.30","1,252.40",9.99,"33,670.00","42,075,119.00"
3,2026-04-13,"1,055.80","1,138.60","1,055.80","1,138.60",10.0,"50,391.00","56,884,333.40"
4,2026-04-10,959.8,"1,035.10",959.8,"1,035.10",10.0,"8,860.00","9,167,630.00"
5,2026-04-09,872.6,941.0,872.6,941.0,9.99,"7,650.00","7,195,957.00"
6,2026-04-08,793.0,855.5,793.0,855.5,9.99,"6,090.00","5,207,830.00"
7,2026-04-07,721.1,777.8,721.1,777.8,10.0,"2,810.00","2,182,525.00"
8,2026-04-06,655.7,707.1,655.7,707.1,9.99,"2,109.00","1,489,894.10"
9,2026-04-05,584.0,642.9,584.0,642.9,9.99,"1,320.00","846,280.00"
10,2026-04-02,542.0,584.5,542.0,584.5,9.99,570.0,"332,121.00"
11,2026-04-01,492.7,531.4,492.7,531.4,10.0,340.0,"179,724.00"
12,2026-03-31,438.9,483.1,438.9,483.1,10.0,360.0,"172,154.00"
13,2026-03-30,407.2,439.2,407.2,439.2,9.99,190.0,"82,661.00"
14,2026-03-29,360.1,399.3,360.1,399.3,10.0,170.0,"66,240.00"
15,2026-03-26,326.3,363.0,326.3,363.0,10.0,130.0,"45,986.00"
16,2026-03-25,300.0,330.0,300.0,330.0,10.0,90.0,"28,810.00"
