S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-04-06,474.70,511.90,474.70,511.90,9.99,"1,310.00","668,929.00"
2,2026-04-05,423.1,465.4,423.1,465.4,10.0,960.0,"444,682.00"
3,2026-04-02,381.7,423.1,381.7,423.1,9.98,590.0,"247,484.00"
4,2026-04-01,356.0,384.7,356.0,384.7,9.98,450.0,"172,111.00"
5,2026-03-31,316.0,349.8,316.0,349.8,10.0,370.0,"128,366.00"
6,2026-03-30,289.1,318.0,289.1,318.0,10.0,470.0,"147,731.00"
7,2026-03-29,264.6,289.1,264.6,289.1,9.97,410.0,"117,349.00"
8,2026-03-26,237.3,262.9,237.3,262.9,10.0,208.0,"53,562.20"
9,2026-03-25,215.0,239.0,215.0,239.0,9.99,270.0,"63,505.00"
10,2026-03-24,195.7,217.3,195.7,217.3,9.97,200.0,"42,759.00"
11,2026-03-23,176.4,197.6,176.4,197.6,9.96,250.0,"48,663.00"
12,2026-03-22,166.5,179.7,166.5,179.7,9.98,300.0,"53,185.00"
13,2026-03-19,147.0,163.4,147.0,163.4,9.96,190.0,"30,506.00"
14,2026-03-17,137.8,148.6,137.8,148.6,9.99,90.0,"13,107.00"
15,2026-03-16,121.7,135.1,121.7,135.1,9.93,150.0,"19,828.00"
16,2026-03-15,110.7,122.9,110.7,122.9,9.93,140.0,"16,688.00"
17,2026-03-12,101.7,111.8,101.7,111.8,9.93,150.0,"16,468.00"
